userId,movieId,tag,timestamp
18,4141,Mark Waters,1240597180
65,208,dark hero,1368150078
65,353,dark hero,1368150079
65,521,noir thriller,1368149983
65,592,dark hero,1368150078
65,668,bollywood,1368149876
65,898,screwball comedy,1368150160
65,1248,noir thriller,1368149983
65,1391,mars,1368150055
65,1617,neo-noir,1368150217
65,1694,jesus,1368149925
65,1783,noir thriller,1368149983
65,2022,jesus,1368149925
65,2193,dragon,1368151314
65,2353,conspiracy theory,1368151266
65,2662,mars,1368150055
65,2726,noir thriller,1368149983
65,2840,jesus,1368149925
65,3052,jesus,1368149926
65,5135,bollywood,1368149876
65,6539,treasure,1368149949
65,6874,dark hero,1368150079
65,7013,noir thriller,1368149983
65,7318,jesus,1368149925
65,8529,stranded,1368150012
65,8622,conspiracy theory,1368151266